State,Transaction_count,Transaction_amount,Geo_states
andaman-&-nicobar-islands,12731498,28446581909.59809,Andaman & Nicobar
andhra-pradesh,7773177203,16339842112633.84,Andhra Pradesh
arunachal-pradesh,45677797,106743520087.68098,Arunachal Pradesh
assam,780474063,1548293213915.8906,Assam
bihar,3977193733,7914668794040.722,Bihar
chandigarh,112190108,188038858302.68616,Chandigarh
chhattisgarh,1405754947,2102595782713.8167,Chhattisgarh
dadra-&-nagar-haveli-&-daman-&-diu,69127620,83707688699.11563,Dadra and Nagar Haveli and Daman and Diu
delhi,4166796855,6384975701392.948,Delhi
goa,149575299,234075461349.30328,Goa
gujarat,2831658126,4868271186221.368,Gujarat
haryana,2709451478,4517875241491.904,Haryana
himachal-pradesh,233181352,369315630672.4001,Himachal Pradesh
jammu-&-kashmir,258420150,477152874825.73096,Jammu & Kashmir
jharkhand,1537719636,2495785385525.9204,Jharkhand
karnataka,13482607291,19122158725446.383,Karnataka
kerala,1126251724,1629927430127.1375,Kerala
ladakh,11634662,34082659537.10214,Ladakh
lakshadweep,231242,678532350.7771469,Lakshadweep
madhya-pradesh,6046299890,9291466842223.82,Madhya Pradesh
maharashtra,14301466303,19739623227303.67,Maharashtra
manipur,50012255,131982823627.74358,Manipur
meghalaya,29439766,68872406554.48495,Meghalaya
mizoram,8057865,23641507369.33138,Mizoram
nagaland,22788422,64769474412.69927,Nagaland
odisha,3588748269,5640972303361.617,Odisha
puducherry,80659260,128719183359.26508,Puducherry
punjab,796475065,1533732499158.293,Punjab
rajasthan,7124629882,12363728715815.234,Rajasthan
sikkim,26559462,58284385900.84953,Sikkim
tamil-nadu,3702448176,6192818361590.535,Tamil Nadu
telangana,12249577388,21593656007837.316,Telangana
tripura,47412898,90265916396.4631,Tripura
uttar-pradesh,6850594175,11652674466842.861,Uttar Pradesh
uttarakhand,622266664,940429317070.317,Uttarakhand
west-bengal,3692511837,6876107592913.681,West Bengal
